class_name,day,subject,teacher,room,number,time
4а класс,понедельник,музыка,Мария,-21,1,09:00-09:45
4а класс,понедельник,математика,Лариса,210,2,09:55-10:35
4а класс,понедельник,ТРИЗ,Виктория,-12,3,10:50-11:30
4а класс,понедельник,русский язык,Елизавета,210,4,11:50-12:30
4а класс,понедельник,ИЗО,Наталья,210,5,12:40-13:20
4а класс,понедельник,обед (Родион), ,,6,13:30-14:10
4а класс,вторник,математика,Лариса,210,1,09:00-09:45
4а класс,вторник,окружающий мир,Николай,210,2,09:55-10:35
4а класс,вторник,русский язык,Елизавета,210,3,10:50-11:30
4а класс,вторник,английский,Инна,210,4,11:50-12:30
4а класс,вторник,театр,Митя,-21,5,12:40-13:20
4а класс,вторник,обед (Родион), ,210,6,13:30-14:10
4а класс,среда,русский язык,Елизавета,210,1,09:00-09:45
4а класс,среда,английский,Инна,210,2,09:55-10:35
4а класс,среда,математика,Лариса,210,3,10:50-11:30
4а класс,среда,каллиграфия,Мария Владимировна,210,4,11:50-12:30
4а класс,среда,сербский язык,Анастасия,210,5,12:40-13:20
4а класс,среда,обед (Родион), ,,6,13:30-14:10
4а класс,четверг,английский,Инна,210,1,09:00-09:45
4а класс,четверг,окружающий мир,Николай,210,2,09:55-10:35
4а класс,четверг,математика,Лариса,210,3,10:50-11:30
4а класс,четверг,тренинг,Людмила,-12,4,11:50-12:30
4а класс,четверг,русский язык,Елизавета,210,5,12:40-13:20
4а класс,четверг,обед (Родион), ,,6,13:30-14:10
4а класс,пятница,русский язык,Елизавета,210,1,09:00-09:45
4а класс,пятница,математика,Лариса,210,2,09:55-10:35
4а класс,пятница,сербский язык,Анастасия,210,3,10:50-11:30
4а класс,пятница,английский,Инна,210,4,11:50-12:30
4а класс,пятница,литература,Елизавета,210,5,12:40-13:20
4а класс,пятница,обед  (Родион) / Литературный сборник, ,,6,13:30-14:10
4б класс,понедельник,математика,Лариса,213,1,09:00-09:45
4б класс,понедельник,русский язык,Елизавета,213,2,09:55-10:35
4б класс,понедельник,ИЗО,Наталья,213,3,10:50-11:30
4б класс,понедельник,литература,Екатерина,213,4,11:50-12:30
4б класс,понедельник,сербский язык,Анастасия,213,5,12:40-13:20
4б класс,понедельник,обед (Родион), ,,6,13:30-14:10
4б класс,вторник,окружающий мир,Николай,213,1,09:00-09:45
4б класс,вторник,математика,Лариса,213,2,09:55-10:35
4б класс,вторник,английский,Инна,213,3,10:50-11:30
4б класс,вторник,русский язык,Елизавета,213,4,11:50-12:30
4б класс,вторник,литература,Екатерина,213,5,12:40-13:20
4б класс,вторник,обед (Родион), ,,6,13:30-14:10
4б класс,среда,математика,Лариса,213,1,09:00-09:45
4б класс,среда,русский язык,Елизавета,213,2,09:55-10:35
4б класс,среда,сербский язык,Анастасия,112,3,10:50-11:30
4б класс,среда,английский,Инна,213,4,11:50-12:30
4б класс,среда,окружающий мир,Николай,213,5,12:40-13:20
4б класс,среда,обед (Родион), ,,6,13:30-14:10
4б класс,четверг,математика,Лариса,213,1,09:00-09:45
4б класс,четверг,русский язык,Елизавета,213,2,09:55-10:35
4б класс,четверг,каллиграфия,Мария Владимировна,213,3,10:50-11:30
4б класс,четверг,английский,Инна,213,4,11:50-12:30
4б класс,четверг,тренинг,Родион,-12,5,12:40-13:20
4б класс,четверг,обед (Родион), ,,6,13:30-14:10
4б класс,пятница,музыка,Мария,-21,1,09:00-09:45
4б класс,пятница,английский,Инна,213,2,09:55-10:35
4б класс,пятница,математика,Лариса,213,3,10:50-11:30
4б класс,пятница,русский язык,Елизавета,213,4,11:50-12:30
4б класс,пятница,литература,Екатерина,213,5,12:40-13:20
4б класс,пятница,обед  (Родион) / Литературный сборник, ,,6,13:30-14:10
5а класс,понедельник,ИЗО,Наталья,214,1,09:00-09:45
5а класс,понедельник,английский,Инна,214,2,09:55-10:35
5а класс,понедельник,русский язык,Екатерина,214,3,10:50-11:30
5а класс,понедельник,математика,Лариса,214,4,11:50-12:30
5а класс,понедельник,литература,Екатерина,214,5,12:40-13:20
5а класс,понедельник,физкультура,Денис,,6,13:30-14:10
5а класс,понедельник,обед, ,,7,14:15-14:35
5а класс,вторник,русский язык,Екатерина,211,1,09:00-09:45
5а класс,вторник,английский,Инна,214,2,09:55-10:35
5а класс,вторник,биология,Николай,214,3,10:50-11:30
5а класс,вторник,литература,Екатерина,214,4,11:50-12:30
5а класс,вторник,математика,Лариса,214,5,12:40-13:20
5а класс,вторник,проекты,Маша,214,6,13:30-14:10
5а класс,вторник,обед, ,,7,14:15-14:35
5а класс,среда,география,Виктория,-12,1,09:00-09:45
5а класс,среда,история,Стася,214,2,09:55-10:35
5а класс,среда,русский язык,Екатерина,214,3,10:50-11:30
5а класс,среда,ТРИЗ,Виктория,-12,4,11:50-12:30
5а класс,среда,математика,Лариса,214,5,12:40-13:20
5а класс,среда,физкультура,Денис,,6,13:30-14:10
5а класс,среда,обед, ,,7,14:15-14:35
5а класс,четверг,литература,Екатерина,214,1,09:00-09:45
5а класс,четверг,английский,Инна,214,2,09:55-10:35
5а класс,четверг,русский язык,Екатерина,214,3,10:50-11:30
5а класс,четверг,математика,Лариса,214,4,11:50-12:30
5а класс,четверг,история,Стася,01,5,12:40-13:20
5а класс,четверг,тренинг,Анастасия Х.,211,6,13:30-14:10
5а класс,четверг,обед, ,,7,14:15-14:35
5а класс,пятница,английский,Инна,214,1,09:00-09:45
5а класс,пятница,информатика,Лариса С.,212,2,09:55-10:35
5а класс,пятница,ИЗО,Наталья,214,3,10:50-11:30
5а класс,пятница,русский язык,Екатерина,214,4,11:50-12:30
5а класс,пятница,математика,Лариса,214,5,12:40-13:20
5а класс,пятница,творчество,Маша,-21,6,13:30-14:10
5а класс,пятница,обед, ,,7,14:15-14:35
